season,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,mp,obpm,orb_pct,ows,per,stl_pct,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48,champion
2022,Stephen Curry,PG,33,GSW,22,18.0,34.7,9.2,20.0,0.459,4.1,10.4,0.397,5.0,9.6,0.526,0.563,4.9,5.9,0.829,0.5,4.7,5.2,5.9,1.3,0.4,2.6,2.7,27.4,28.3,1.1,7.7,1.1,14.9,0.9,0.52,0.293,764.0,6.7,1.7,2.4,24.4,1.9,10.3,8.4,0.606,31.8,1.9,3.2,0.203,True
2022,Seth Curry,SG,31,BRK,4,4.0,33.0,5.5,9.8,0.564,3.0,5.8,0.522,2.5,4.0,0.625,0.718,0.5,0.8,0.667,0.5,2.0,2.5,3.0,0.3,0.8,0.8,3.8,14.5,14.0,2.2,3.0,-1.0,8.0,-0.1,0.59,0.077,132.0,4.0,2.0,0.4,16.4,0.4,6.9,4.9,0.719,15.1,0.2,0.3,0.12,False
2022,JaMychal Green,PF,31,DEN,5,0.0,13.8,1.2,3.2,0.375,0.2,1.0,0.2,1.0,2.2,0.455,0.406,1.4,1.4,1.0,0.6,1.8,2.4,0.4,0.0,0.2,0.4,2.4,4.0,3.9,1.5,-7.1,-2.7,16.7,0.0,0.313,0.438,69.0,-4.4,5.2,0.1,6.7,0.0,9.5,10.8,0.524,13.3,-0.1,0.0,0.012,False
2022,Javonte Green,SF,28,CHI,5,1.0,14.4,0.6,3.4,0.176,0.0,1.2,0.0,0.6,2.2,0.273,0.176,0.2,0.4,0.5,1.6,1.4,3.0,0.4,1.8,0.0,0.8,1.6,1.4,3.9,0.0,-6.3,1.5,10.6,0.2,0.353,0.118,72.0,-7.8,10.3,-0.3,4.1,6.0,18.3,10.4,0.196,13.3,-0.1,-0.1,-0.075,False
2022,Jeff Green,PF,35,DEN,5,5.0,22.6,1.2,3.4,0.353,0.6,1.6,0.375,0.6,1.8,0.333,0.441,0.8,1.0,0.8,1.4,2.2,3.6,0.4,0.6,0.4,0.4,1.2,3.8,2.3,1.9,-3.3,-1.9,12.4,0.0,0.471,0.294,113.0,-1.4,7.4,0.1,7.6,1.3,9.4,9.9,0.495,8.2,0.0,0.0,0.012,False
2022,Josh Green,SG,21,DAL,16,0.0,7.6,0.5,1.8,0.286,0.3,1.4,0.227,0.2,0.4,0.5,0.375,0.1,0.5,0.25,0.1,0.7,0.8,0.4,0.3,0.0,0.0,1.0,1.4,8.4,0.0,-5.0,0.3,10.9,0.1,0.786,0.286,121.0,-5.3,1.0,-0.1,4.0,2.1,0.0,5.8,0.365,12.3,-0.1,-0.1,-0.021,False
2022,Isaiah Joe,SG,22,PHI,7,0.0,2.1,0.3,0.7,0.4,0.1,0.4,0.333,0.1,0.3,0.5,0.5,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.4,0.1,0.7,0.0,0.0,-15.0,-4.6,15.6,0.0,0.6,0.0,15.0,-10.4,0.0,-0.1,-4.6,0.0,37.5,8.2,0.5,25.1,0.0,-0.1,-0.289,False
2022,Jaren Jackson Jr.,PF,22,MEM,12,12.0,27.7,4.9,13.0,0.378,2.3,6.0,0.375,2.7,7.0,0.381,0.465,3.3,4.4,0.755,2.2,4.6,6.8,0.9,0.8,2.5,1.4,4.4,15.4,5.1,8.9,0.7,1.2,18.5,0.6,0.462,0.34,332.0,-0.4,7.8,0.2,15.9,1.3,8.7,12.9,0.516,24.2,0.2,0.8,0.111,False
2022,Kyrie Irving,PG,29,BRK,4,4.0,42.5,7.0,15.8,0.444,2.0,5.3,0.381,5.0,10.5,0.476,0.508,5.3,5.3,1.0,1.5,3.8,5.3,5.3,1.8,1.3,2.3,3.3,21.3,18.9,2.8,2.8,-0.7,11.6,0.0,0.333,0.333,170.0,3.4,4.6,0.4,19.2,2.1,11.1,8.1,0.588,21.9,0.2,0.4,0.115,False
2022,Brandon Ingram,SF,24,NOP,6,6.0,39.3,9.3,19.7,0.475,1.8,4.5,0.407,7.5,15.2,0.495,0.521,6.5,7.8,0.83,0.7,5.5,6.2,6.2,0.7,0.3,3.8,1.8,27.0,27.3,0.7,3.9,-0.5,17.7,0.0,0.229,0.398,236.0,4.5,1.9,0.6,21.3,0.9,14.2,9.3,0.584,29.5,0.4,0.6,0.12,False
