player,season,fg3_per_g,fg3a_per_g,fg3_pct,champion
T.J. Warren,2020,1.8,4.8,0.368,False
Brad Wanamaker,2020,0.7,1.6,0.444,False
Kemba Walker,2020,2.3,7.4,0.31,False
Dion Waiters,2020,0.0,0.8,0.0,True
Nikola Vučević,2020,3.6,8.8,0.409,False
Noah Vonleh,2020,0.0,0.0,0.0,False
Gabe Vincent,2020,0.0,0.0,0.0,False
Fred VanVleet,2020,3.9,10.0,0.391,False
Myles Turner,2020,1.5,3.5,0.429,False
Rayjon Tucker,2020,0.5,1.5,0.333,False
P.J. Tucker,2020,2.1,5.6,0.373,False
Gary Trent Jr.,2020,2.0,4.8,0.417,False
Chris Paul,2020,2.3,6.1,0.372,False
Ivica Zubac,2020,0.0,0.0,0.0,False
Miye Oni,2020,0.5,2.0,0.25,False
Rodney McGruder,2020,0.4,0.6,0.667,False
Doug McDermott,2020,0.5,2.5,0.2,False
T.J. McConnell,2020,0.0,0.0,0.0,False
CJ McCollum,2020,2.6,7.0,0.371,False
Wesley Matthews,2020,1.7,4.3,0.395,False
Frank Mason III,2020,0.0,0.0,0.0,False
Jeremiah Martin,2020,1.0,1.7,0.6,False
Boban Marjanović,2020,0.0,0.2,0.0,False
Terance Mann,2020,0.0,0.2,0.0,False
Timothé Luwawu-Cabarrot,2020,3.3,9.8,0.333,False
Robin Lopez,2020,0.0,0.0,0.0,False
Brook Lopez,2020,2.1,5.3,0.396,False
Damian Lillard,2020,3.3,8.3,0.394,False
Caris LeVert,2020,2.3,5.3,0.429,False
Meyers Leonard,2020,0.7,1.3,0.5,False
Kawhi Leonard,2020,1.8,5.6,0.329,False
Vic Law,2020,1.0,1.0,1.0,False
Romeo Langford,2020,0.1,0.3,0.5,False
Kyle Kuzma,2020,1.2,4.0,0.313,True
Kyle Korver,2020,1.5,3.7,0.405,False
Furkan Korkmaz,2020,0.0,1.5,0.0,False
Maxi Kleber,2020,0.8,4.3,0.192,False
Michael Kidd-Gilchrist,2020,0.3,1.5,0.222,False
Kelly Olynyk,2020,1.0,2.9,0.347,False
JaVale McGee,2020,0.0,0.1,0.0,True
Kyle Lowry,2020,2.1,6.5,0.319,False
Ben McLemore,2020,1.3,3.3,0.389,False
Džanan Musa,2020,0.0,2.0,0.0,False
Khris Middleton,2020,2.3,6.5,0.354,False
Semi Ojeleye,2020,0.4,1.8,0.217,False
Kyle O'Quinn,2020,0.0,0.0,0.0,False
Royce O'Neale,2020,1.4,3.1,0.455,False
Jusuf Nurkić,2020,0.6,2.2,0.273,False
Kendrick Nunn,2020,0.8,2.9,0.279,False
Nerlens Noel,2020,0.0,0.1,0.0,False
Georges Niang,2020,1.7,4.1,0.414,False
Raul Neto,2020,1.0,2.5,0.4,False
Abdel Nader,2020,0.3,1.7,0.2,False
Mike Muscala,2020,0.5,0.5,1.0,False
Joakim Noah,2020,0.0,0.0,0.0,False
Jamal Murray,2020,3.3,7.2,0.453,False
Juwan Morgan,2020,0.3,1.4,0.2,False
Victor Oladipo,2020,3.0,8.3,0.364,False
Paul Millsap,2020,0.8,2.3,0.341,False
Shake Milton,2020,2.5,6.3,0.4,False
Donovan Mitchell,2020,4.7,9.1,0.516,False
Malcolm Miller,2020,1.0,1.0,1.0,False
Marcus Morris,2020,2.2,4.5,0.475,False
Markieff Morris,2020,1.4,3.3,0.42,True
Monte Morris,2020,0.6,2.1,0.3,False
Emmanuel Mudiay,2020,0.7,1.0,0.667,False
Paul George,2019,3.0,9.4,0.319,False
Gerald Green,2019,0.9,2.6,0.345,False
Draymond Green,2019,0.6,2.6,0.228,False
Danny Green,2019,1.6,5.0,0.328,True
Jerian Grant,2019,0.0,2.3,0.0,False
Jerami Grant,2019,1.8,4.0,0.45,False
Treveon Graham,2019,0.0,1.4,0.0,False
Eric Gordon,2019,3.5,8.6,0.4,False
Aaron Gordon,2019,1.6,4.0,0.4,False
Rudy Gobert,2019,0.0,0.0,0.0,False
Shai Gilgeous-Alexander,2019,1.5,3.0,0.5,False
Derrick Favors,2019,0.0,0.6,0.0,False
Rudy Gay,2019,1.1,2.7,0.421,False
