season,team_id,Attempts,Percentage,Champion
2012,LAL,21.3,0.4374545454545454,False
2012,MEM,11.9,0.187875,False
2012,MIA,20.6,0.31055555555555553,True
2012,NYK,19.8,0.23374999999999999,False
2012,OKC,20.3,0.343125,False
2012,ORL,24.6,0.3338571428571429,False
2012,PHI,13.7,0.22771428571428573,False
2012,SAS,23.400000000000002,0.4057272727272727,False
2012,UTA,11.5,0.25555555555555554,False
2013,ATL,19.900000000000002,0.30433333333333334,False
2013,BOS,21.3,0.20800000000000002,False
2013,BRK,20.4,0.287125,False
2013,CHI,25.8,0.2779090909090909,False
2013,DEN,23.1,0.384,False
2013,GSW,22.400000000000002,0.36214285714285716,False
2013,HOU,37.4,0.24066666666666667,False
2013,IND,22.2,0.22280000000000003,False
2013,LAC,19.3,0.259,False
2013,LAL,27.8,0.20944444444444443,False
2013,MEM,15.200000000000001,0.1937,False
2013,MIA,21.6,0.3809,True
2013,MIL,23.3,0.19287500000000002,False
2013,NYK,26.099999999999998,0.3865454545454545,False
2013,OKC,28.6,0.2932222222222223,False
2013,SAS,22.400000000000002,0.24607692307692305,False
2014,ATL,33.3,0.40299999999999997,False
2014,BRK,23.1,0.33111111111111113,False
2014,CHA,21.4,0.31575,False
2014,CHI,19.2,0.2798,False
2014,DAL,25.0,0.3135555555555556,False
2014,GSW,26.599999999999998,0.31575,False
2014,HOU,28.0,0.24642857142857144,False
2014,IND,21.3,0.33372727272727276,False
2014,LAC,27.9,0.3119,False
2014,MEM,16.7,0.23929999999999998,False
2014,MIA,25.1,0.3719090909090909,False
2014,OKC,25.0,0.31579999999999997,False
2014,POR,25.2,0.3158888888888889,False
2014,SAS,21.7,0.2678333333333333,True
2014,TOR,21.7,0.22762500000000002,False
2014,WAS,17.5,0.2644,False
2015,ATL,32.5,0.29933333333333334,False
2015,BOS,22.1,0.2294,False
2015,BRK,26.3,0.2971111111111111,False
2015,CHI,26.3,0.3811818181818181,False
2015,CLE,36.1,0.3792222222222222,False
2015,DAL,29.7,0.2784,False
2015,GSW,31.3,0.3633,True
2015,HOU,28.099999999999998,0.26355555555555554,False
2015,LAC,27.4,0.2777,False
2015,MEM,15.8,0.29972727272727273,False
2015,MIL,22.4,0.21266666666666667,False
2015,NOP,21.6,0.2527142857142857,False
2015,POR,27.3,0.42362500000000003,False
2015,SAS,26.1,0.28544444444444445,False
2015,TOR,25.2,0.277,False
2015,WAS,26.3,0.2802,False
2016,ATL,34.3,0.34184615384615386,False
2016,BOS,39.1,0.20076923076923076,False
2016,CHO,20.5,0.35044444444444445,False
2016,CLE,32.3,0.41075,True
2016,DAL,23.1,0.25622222222222224,False
2016,DET,24.3,0.34444444444444444,False
2016,GSW,36.2,0.30872727272727274,False
2016,HOU,29.6,0.22441666666666668,False
2016,IND,21.7,0.29577777777777775,False
2016,LAC,21.6,0.2792222222222222,False
2016,MEM,16.9,0.275125,False
2016,MIA,21.099999999999998,0.3408,False
2016,OKC,27.1,0.3135,False
2016,POR,31.7,0.3943,False
2016,SAS,20.9,0.47108333333333335,False
2016,TOR,24.5,0.241,False
